0.000000	3.587711
1.000000	3.559677
2.000000	3.543367
3.000000	3.516353
4.000000	3.494436
5.000000	3.487810
6.000000	3.470990
7.000000	3.445506
8.000000	3.416453
9.000000	3.408298
10.000000	3.393517
11.000000	3.367013
12.000000	3.351212
13.000000	3.333373
14.000000	3.318592
15.000000	3.295655
16.000000	3.289539
17.000000	3.279855
18.000000	3.263545
19.000000	3.244686
20.000000	3.226337
21.000000	3.211046
22.000000	3.186071
23.000000	3.175877
24.000000	3.158548
25.000000	3.145296
26.000000	3.113694
27.000000	3.100442
28.000000	3.072919
29.000000	3.064764
30.000000	3.040808
31.000000	3.019911
32.000000	2.999013
33.000000	2.990858
34.000000	2.968941
35.000000	2.950082
36.000000	2.940398
37.000000	2.920010
38.000000	2.904210
39.000000	2.877196
40.000000	2.863944
41.000000	2.848143
42.000000	2.836420
43.000000	2.819091
44.000000	2.793096
45.000000	2.781373
46.000000	2.755889
47.000000	2.745185
48.000000	2.733462
49.000000	2.714603
50.000000	2.697784
51.000000	2.675357
52.000000	2.662105
53.000000	2.651401
54.000000	2.629484
55.000000	2.619291
56.000000	2.600432
57.000000	2.570360
58.000000	2.568831
59.000000	2.551501
60.000000	2.539778
61.000000	2.523468
62.000000	2.500022
63.000000	2.497983
64.000000	2.468421
65.000000	2.455678
66.000000	2.453640
67.000000	2.438859
68.000000	2.414393
69.000000	2.408277
70.000000	2.378715
71.000000	2.365463
72.000000	2.352210
73.000000	2.328764
74.000000	2.325706
75.000000	2.307867
76.000000	2.287479
77.000000	2.271679
78.000000	2.263524
79.000000	2.249762
80.000000	2.229884
81.000000	2.214083
82.000000	2.214083
83.000000	2.185031
84.000000	2.182992
85.000000	2.159546
86.000000	2.159546
87.000000	2.133551
88.000000	2.118770
89.000000	2.106538
90.000000	2.091247
91.000000	2.071369
92.000000	2.067291
93.000000	2.049452
94.000000	2.033651
95.000000	2.016831
96.000000	2.003579
97.000000	1.993895
98.000000	1.987779
99.000000	1.965352
100.000000	1.959236
101.000000	1.939358
102.000000	1.932732
103.000000	1.912854
104.000000	1.903679
105.000000	1.887879
106.000000	1.880233
107.000000	1.855768
108.000000	1.866471
109.000000	1.847103
110.000000	1.832322
111.000000	1.817031
112.000000	1.802759
113.000000	1.788488
114.000000	1.783391
115.000000	1.772687
116.000000	1.753829
117.000000	1.749242
118.000000	1.723757
119.000000	1.711014
120.000000	1.705408
121.000000	1.695214
122.000000	1.677884
123.000000	1.668710
124.000000	1.658516
125.000000	1.648322
126.000000	1.637109
127.000000	1.609075
128.000000	1.609585
129.000000	1.602959
130.000000	1.594294
131.000000	1.575945
132.000000	1.569319
133.000000	1.562184
134.000000	1.535170
135.000000	1.529053
136.000000	1.521918
137.000000	1.511724
138.000000	1.498472
139.000000	1.497452
140.000000	1.472477
141.000000	1.462283
142.000000	1.460754
143.000000	1.441896
144.000000	1.436799
145.000000	1.430173
146.000000	1.417430
147.000000	1.405707
148.000000	1.394494
149.000000	1.385829
150.000000	1.366970
151.000000	1.360854
152.000000	1.350151
153.000000	1.337408
154.000000	1.337918
155.000000	1.327214
156.000000	1.313962
157.000000	1.299181
158.000000	1.300200
159.000000	1.288477
160.000000	1.272677
161.000000	1.251270
162.000000	1.247192
163.000000	1.242095
164.000000	1.241076
165.000000	1.228333
166.000000	1.225275
167.000000	1.213552
168.000000	1.185519
169.000000	1.191126
170.000000	1.185009
171.000000	1.175835
172.000000	1.170738
173.000000	1.162073
174.000000	1.144234
175.000000	1.136079
176.000000	1.132001
177.000000	1.117730
178.000000	1.111104
179.000000	1.105497
180.000000	1.086129
181.000000	1.085619
182.000000	1.071857
183.000000	1.066760
184.000000	1.070838
185.000000	1.052489
186.000000	1.040766
187.000000	1.047392
188.000000	1.030062
189.000000	1.029552
190.000000	1.014771
191.000000	1.012223
192.000000	0.991325
193.000000	1.005597
194.000000	0.977564
195.000000	0.977564
196.000000	0.957686
197.000000	0.962782
198.000000	0.950550
199.000000	0.942904
200.000000	0.936278
201.000000	0.932710
202.000000	0.922517
203.000000	0.909265
204.000000	0.907226
205.000000	0.906206
206.000000	0.882760
207.000000	0.898051
208.000000	0.882251
209.000000	0.875115
210.000000	0.868489
211.000000	0.860334
212.000000	0.850140
213.000000	0.838417
214.000000	0.852688
215.000000	0.836888
216.000000	0.832810
217.000000	0.822107
218.000000	0.811403
